name,url,rating,number_of_ratings,price,asin
"Amazon Basics Slope Basics Black Anti-theft 15.6 inches Laptop Bag, Office/College Backpack",https://www.amazon.in/Amazon-Basics-Anti-theft-College-Backpack/dp/B0C8NWKRRH/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-47,4.5 out of 5 stars,213,869,B0C8NWKRRH
"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty",https://www.amazon.in/Lunars-V-Line-Resistant-Bagpack-College/dp/B08BP5CYDV/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-48,4.1 out of 5 stars,2625,799,B08BP5CYDV
Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,https://www.amazon.in/Half-Moon-Trekking-Bags-Compartment/dp/B08PSX1LN9/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-49,4.1 out of 5 stars,1359,1399,B08PSX1LN9
"MOKOBARA The Work Backpack - II Black Nylon Water Resistant (16"") Laptop | Work | Travel Bag for Men and Women",https://www.amazon.in/MOKOBARA-Work-Backpack-Resistant-Reflection/dp/B0C9J8JJ6C/ref=sr_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-50,4.0 out of 5 stars,1,8999,B0C9J8JJ6C
"URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",https://www.amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-51,3.9 out of 5 stars,782,939,B01LXNNFDF
"STRABO Cooper for Boys Girls Stylish Men and Women Casual 15"" inch 25L CANVAS Laptop BACKPACK | Office, College, Travel Bag",https://www.amazon.in/STRABO-Cooper-Laptop-Bag-Capacity/dp/B0BX9SVT1D/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-52,4.4 out of 5 stars,50,699,B0BX9SVT1D
"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",https://www.amazon.in/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-51,3.8 out of 5 stars,1017,949,B09B2581S9
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-52,4.3 out of 5 stars,11811,550,B085S444JV
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-53,4.0 out of 5 stars,4894,679,B09VTDMRY7
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan,https://www.amazon.in/Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74/ref=sr_1_54?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-54,4.4 out of 5 stars,2483,979,B07G4CYC74
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_55?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-55,3.8 out of 5 stars,856,929,B07QN4KXWG
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_56?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-56,3.7 out of 5 stars,147,649,B0C23Z9W18
"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5/ref=sr_1_57?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-57,3.8 out of 5 stars,893,599,B09B277CR5
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_58?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-58,4.0 out of 5 stars,8045,1049,B097RJ22Q3
NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3SPN16/ref=sr_1_61?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-61,3.9 out of 5 stars,826,470,B0BL3SPN16
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C6N3MYL2/ref=sr_1_62?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-62,3.7 out of 5 stars,147,599,B0C6N3MYL2
Half Moon Valex Unisex School Bag/Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men & Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,https://www.amazon.in/Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67/ref=sr_1_63?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-63,3.7 out of 5 stars,60,649,B0C1NZLF67
Lavie Sport Lino M Duffle Wheeler Bag for Travel | 2 Wheel Luggage Bag | Travel Bag with Adjustable Handle,https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Wheeler/dp/B0992JCN1W/ref=sr_1_64?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-64,3.8 out of 5 stars,3267,749,B0992JCN1W
Wesley 15 Liter Casual Daypack Backpack,https://www.amazon.in/Wesley-Liter-Casual-Daypack-Backpack/dp/B0BVVY98PZ/ref=sr_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-65,3.8 out of 5 stars,66,168,B0BVVY98PZ
"Walkent Stylish 15.6"" Laptop Bag (Model Ritzy) Hi-Quality PU, Waterproof, Anti Theft, External USB, Scratch Resistant for Office College Men Women",https://www.amazon.in/Ritzy-Waterproof-Hi-Quality-External-Resistant/dp/B09Q172X7J/ref=sr_1_66?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-66,4.3 out of 5 stars,117,2809,B09Q172X7J
"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Black,Grey) Sch Bag",https://www.amazon.in/F-Gear-Blow-Laptop-Backpack/dp/B078J63VRY/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-67,4.3 out of 5 stars,1287,1099,B078J63VRY
Safari Sheild 26 Ltrs Water Resistant Casual Backpack - (SHEILD19CBBLK),https://www.amazon.in/Safari-Sheild-Resistant-Casual-Backpack/dp/B09B26T7KQ/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-68,3.9 out of 5 stars,1099,699,B09B26T7KQ
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1690028120&sr=8-67,4.0 out of 5 stars,4894,679,B09VTDMRY7
Safari Sheild 26 Ltrs Water Resistant Casual Backpack - (SHEILD19CBBLK),https://www.amazon.in/Safari-Sheild-Resistant-Casual-Backpack/dp/B09B26T7KQ/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1690028120&sr=8-68,3.9 out of 5 stars,1099,699,B09B26T7KQ
Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,https://www.amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WNFN1XS/ref=sr_1_69?crid=2M096C61O4MLT&keywords=bags&qid=1690028120&sr=8-69,4.0 out of 5 stars,13529,799,B07WNFN1XS
"Genie Lily Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.36 litres (19 inch) Black colour",https://www.amazon.in/Genie-compartments-Lightweight-Travelling-Purpose-36/dp/B097JHSJTL/ref=sr_1_70?crid=2M096C61O4MLT&keywords=bags&qid=1690028120&sr=8-70,5.0 out of 5 stars,1,899,B097JHSJTL
LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BS6YGKMC/ref=sr_1_71?crid=2M096C61O4MLT&keywords=bags&qid=1690028120&sr=8-71,3.8 out of 5 stars,35,499,B0BS6YGKMC
"FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook",https://www.amazon.in/Backpack-Business-Backpacks-Charging-Resistant/dp/B094DGX84G/ref=sr_1_72?crid=2M096C61O4MLT&keywords=bags&qid=1690028120&sr=8-72,4.3 out of 5 stars,479,949,B094DGX84G
"PAZZO Alto 40L Casual Backpack - 3 Compartment Travel Backpack, College|School Bag with 1 Year Warranty",https://www.amazon.in/PAZZO-Alto-40L-Casual-Backpack/dp/B07VT3F795/ref=sr_1_73?crid=2M096C61O4MLT&keywords=bags&qid=1690028120&sr=8-73,4.0 out of 5 stars,1767,849,B07VT3F795
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_74?crid=2M096C61O4MLT&keywords=bags&qid=1690028120&sr=8-74,4.0 out of 5 stars,4894,679,B09VTCNN75
"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB/ref=sr_1_77?crid=2M096C61O4MLT&keywords=bags&qid=1690028120&sr=8-77,4.0 out of 5 stars,1444,599,B09QL81ZHB
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Black),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795/ref=sr_1_78?crid=2M096C61O4MLT&keywords=bags&qid=1690028120&sr=8-78,3.8 out of 5 stars,261,646,B0BPTV3795
Tommy Hilfiger Connor Laptop Backpack,https://www.amazon.in/Hilfiger-Connor-Backpack-TH-CONNORLAP07/dp/B07N99SXB1/ref=sr_1_79?crid=2M096C61O4MLT&keywords=bags&qid=1690028120&sr=8-79,4.1 out of 5 stars,127,1799,B07N99SXB1
NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QM2GD/ref=sr_1_80?crid=2M096C61O4MLT&keywords=bags&qid=1690028120&sr=8-80,4.0 out of 5 stars,470,499,B0BS6QM2GD
Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B09GG53CSL/ref=sr_1_81?crid=2M096C61O4MLT&keywords=bags&qid=1690028120&sr=8-81,3.9 out of 5 stars,1338,699,B09GG53CSL
